,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,19,9,19,9
2,28,9,28,9
3,38,10,38,10
4,47,9,47,9
5,56,9,56,9
6,64,8,64,8
7,74,10,74,10
8,83,9,83,9
9,91,8,91,8
10,101,10,101,10
11,111,10,111,10
12,119,8,119,8
13,129,10,129,10
14,139,10,139,10
15,147,8,147,8
16,156,9,156,9
17,165,9,165,9
18,174,9,174,9
19,183,9,183,9
20,193,10,193,10
21,201,8,201,8
22,211,10,211,10
23,221,10,221,10
24,229,8,229,8
25,239,10,239,10
26,248,9,248,9
27,256,8,256,8
28,266,10,266,10
29,276,10,276,10
30,284,8,284,8
31,294,10,294,10
32,303,9,303,9
33,312,9,312,9
34,322,10,322,10
35,331,9,331,9
36,340,9,340,9
37,350,10,350,10
38,359,9,359,9
39,368,9,368,9
40,378,10,378,10
41,387,9,387,9
42,396,9,396,9
43,406,10,406,10
44,415,9,415,9
45,424,9,424,9
