,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,29,9,29,9
3,38,9,38,9
4,48,10,48,10
5,56,8,56,8
6,66,10,66,10
7,75,9,75,9
8,84,9,84,9
9,94,10,94,10
10,103,9,103,9
11,112,9,112,9
12,121,9,121,9
13,130,9,130,9
14,140,10,140,10
15,149,9,149,9
16,158,9,158,9
17,168,10,168,10
18,176,8,176,8
19,186,10,186,10
20,196,10,196,10
21,204,8,204,8
22,214,10,214,10
23,223,9,223,9
24,231,8,231,8
25,241,10,241,10
26,251,10,251,10
27,259,8,259,8
28,269,10,269,10
29,279,10,279,10
30,287,8,287,8
31,297,10,297,10
32,307,10,307,10
33,315,8,315,8
34,325,10,325,10
35,334,9,334,9
36,343,9,343,9
37,353,10,353,10
38,362,9,362,9
