,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,29,9,29,9
3,38,9,38,9
4,48,10,48,10
5,57,9,57,9
6,66,9,66,9
7,76,10,76,10
8,84,8,84,8
9,94,10,94,10
10,104,10,104,10
11,112,8,112,8
12,122,10,122,10
13,132,10,132,10
14,140,8,140,8
15,150,10,150,10
16,159,9,159,9
17,168,9,168,9
18,177,9,177,9
19,187,10,187,10
20,196,9,196,9
21,206,10,206,10
22,215,9,215,9
23,224,9,224,9
24,234,10,234,10
25,243,9,243,9
26,252,9,252,9
27,261,9,261,9
28,271,10,271,10
29,280,9,280,9
30,289,9,289,9
31,298,9,298,9
32,308,10,308,10
33,317,9,316,8
34,325,8,325,9
