,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,19,9,19,9
2,28,9,28,9
3,37,9,37,9
4,46,9,46,9
5,56,10,56,10
6,65,9,65,9
7,75,10,75,10
8,84,9,84,9
9,93,9,93,9
10,102,9,102,9
11,112,10,112,10
12,121,9,121,9
13,131,10,131,10
14,140,9,140,9
15,149,9,149,9
16,158,9,158,9
17,168,10,168,10
18,177,9,177,9
19,187,10,187,10
20,196,9,196,9
21,204,8,204,8
22,214,10,214,10
23,223,9,223,9
24,231,8,231,8
25,240,9,240,9
26,250,10,250,10
27,258,8,258,8
28,267,9,267,9
29,277,10,277,10
