,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,29,9,29,9
3,39,10,38,9
4,48,9,48,10
5,57,9,57,9
6,66,9,66,9
7,76,10,76,10
8,84,8,84,8
9,94,10,94,10
10,103,9,103,9
11,112,9,112,9
12,121,9,121,9
13,131,10,131,10
14,140,9,140,9
15,148,8,148,8
16,158,10,158,10
17,168,10,168,10
18,176,8,176,8
19,186,10,186,10
20,195,9,195,9
21,203,8,203,8
22,213,10,213,10
23,222,9,222,9
24,231,9,231,9
25,241,10,241,10
26,250,9,250,9
27,259,9,259,9
28,268,9,268,9
29,278,10,278,10
