,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,19,9,19,9
2,28,9,28,9
3,37,9,37,9
4,47,10,47,10
5,56,9,56,9
6,65,9,65,9
7,74,9,74,9
8,84,10,84,10
9,93,9,93,9
10,102,9,102,9
11,112,10,112,10
12,121,9,121,9
13,131,10,131,10
14,140,9,140,9
15,149,9,149,9
16,159,10,159,10
17,168,9,168,9
18,178,10,178,10
19,187,9,187,9
20,196,9,196,9
21,205,9,205,9
22,214,9,214,9
23,224,10,224,10
24,233,9,233,9
25,242,9,242,9
26,252,10,252,10
27,261,9,261,9
28,271,10,271,10
29,280,9,280,9
30,289,9,289,9
31,298,9,298,9
32,308,10,308,10
33,316,8,316,8
