,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,28,8,28,8
3,38,10,38,10
4,47,9,47,9
5,56,9,56,9
6,65,9,65,9
7,74,9,74,9
8,84,10,84,10
9,92,8,92,8
10,102,10,102,10
11,112,10,112,10
12,120,8,120,8
13,129,9,129,9
14,139,10,139,10
15,148,9,148,9
16,157,9,157,9
17,167,10,167,10
18,176,9,176,9
19,185,9,185,9
20,194,9,194,9
21,202,8,202,8
22,211,9,211,9
23,220,9,220,9
24,228,8,228,8
25,238,10,238,10
26,247,9,247,9
27,256,9,256,9
28,265,9,265,9
29,275,10,275,10
30,283,8,283,8
31,292,9,292,9
32,301,9,301,9
33,310,9,310,9
34,319,9,319,9
35,329,10,329,10
36,337,8,337,8
