,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,28,8,28,8
3,39,11,39,11
4,48,9,48,9
5,57,9,57,9
6,66,9,66,9
7,76,10,76,10
8,85,9,85,9
9,94,9,94,9
10,104,10,104,10
11,113,9,113,9
12,122,9,122,9
13,132,10,132,10
14,141,9,141,9
15,150,9,150,9
16,159,9,159,9
17,168,9,168,9
18,178,10,178,10
19,187,9,187,9
20,196,9,196,9
21,206,10,206,10
22,215,9,215,9
23,224,9,224,9
24,233,9,233,9
25,243,10,243,10
26,252,9,252,9
27,262,10,262,10
28,271,9,271,9
29,280,9,280,9
30,289,9,289,9
31,299,10,299,10
32,308,9,308,9
33,316,8,316,8
34,326,10,326,10
35,335,9,335,9
